[2017-06-29 12:53:27] Failed to load manifest
[2017-06-29 12:53:27] Error: Download failed: http error 0
[2017-06-29 12:53:29] Background update loop checking for update. . .
[2017-06-29 12:53:31] Download skipped by HTTP 304 Not Modified
[2017-06-29 12:53:31] Nothing to do
[2017-06-29 12:59:49] Background update loop checking for update. . .
[2017-06-29 12:59:50] Download skipped by HTTP 304 Not Modified
[2017-06-29 12:59:50] Nothing to do
[2017-06-29 13:06:54] Background update loop checking for update. . .
[2017-06-29 13:06:55] Download failed: http error 0 (client-download.steampowered.com/client/steam_client_osx)
[2017-06-29 13:06:55] Download failed: http error 0 (media.steampowered.com/client/steam_client_osx)
[2017-06-29 13:06:55] failed to load manifest from buffer.
[2017-06-29 13:06:55] Failed to load manifest
[2017-06-29 13:06:55] Error: Download failed: http error 0
[2017-06-29 13:07:08] Background update loop checking for update. . .


[2017-07-01 10:43:32] Startup - updater built Aug 22 2016 17:36:46


[2017-07-01 10:43:32] Startup - updater built Jun  7 2017 21:34:51
[2017-07-01 10:43:33] Checking for update on startup
[2017-07-01 10:43:33] Checking for available updates...
[2017-07-01 10:43:33] Download skipped: /client/steam_client_osx version 1496897923, installed version 1496897923
[2017-07-01 10:43:33] Nothing to do
[2017-07-01 10:43:33] Verifying installation...
[2017-07-01 10:43:33] Performing checksum verification of executable files
[2017-07-01 10:43:35] Verification complete
[2017-07-01 10:43:40] Background update loop checking for update. . .
[2017-07-01 10:43:40] Checking for available updates...
[2017-07-01 10:43:45] Download skipped by HTTP 304 Not Modified
[2017-07-01 10:43:45] Nothing to do
[2017-07-01 11:43:26] Background update loop checking for update. . .
[2017-07-01 11:43:38] Download skipped by HTTP 304 Not Modified
[2017-07-01 11:43:38] Nothing to do
[2017-07-01 11:58:59] Background update loop checking for update. . .
[2017-07-01 11:59:08] Download failed: http error 0 (client-download.steampowered.com/client/steam_client_osx)
[2017-07-01 11:59:08] Download failed: http error 0 (media.steampowered.com/client/steam_client_osx)
[2017-07-01 11:59:08] failed to load manifest from buffer.
[2017-07-01 11:59:08] Failed to load manifest
[2017-07-01 11:59:08] Error: Download failed: http error 0
[2017-07-01 11:59:15] Background update loop checking for update. . .
[2017-07-01 11:59:16] Download skipped by HTTP 304 Not Modified
[2017-07-01 11:59:16] Nothing to do
[2017-07-01 12:33:42] Background update loop checking for update. . .
[2017-07-01 12:34:13] Download failed: http error 0 (client-download.steampowered.com/client/steam_client_osx)
[2017-07-01 12:34:57] Download failed: http error 0 (media.steampowered.com/client/steam_client_osx)
[2017-07-01 12:34:57] failed to load manifest from buffer.
[2017-07-01 12:34:57] Failed to load manifest
[2017-07-01 12:34:57] Error: Download failed: http error 0
[2017-07-01 15:31:38] Background update loop checking for update. . .
[2017-07-01 15:31:48] Download skipped by HTTP 304 Not Modified
[2017-07-01 15:31:48] Nothing to do
[2017-07-01 15:57:04] Background update loop checking for update. . .
[2017-07-01 15:57:05] Download skipped by HTTP 304 Not Modified
[2017-07-01 15:57:05] Nothing to do
[2017-07-01 16:03:06] Background update loop checking for update. . .
[2017-07-01 16:19:15] Download failed: http error 0 (client-download.steampowered.com/client/steam_client_osx)
[2017-07-01 16:19:20] Download skipped by HTTP 304 Not Modified
[2017-07-01 16:19:20] Nothing to do
[2017-07-01 18:52:35] Background update loop checking for update. . .
[2017-07-01 18:52:36] Download skipped by HTTP 304 Not Modified
[2017-07-01 18:52:36] Nothing to do
[2017-07-01 18:58:41] Background update loop checking for update. . .
[2017-07-01 18:59:03] Download failed: http error 0 (client-download.steampowered.com/client/steam_client_osx)
[2017-07-01 18:59:04] Download skipped by HTTP 304 Not Modified
[2017-07-01 18:59:04] Nothing to do
[2017-07-01 19:04:13] Background update loop checking for update. . .
[2017-07-01 19:04:15] Download skipped by HTTP 304 Not Modified
[2017-07-01 19:04:15] Nothing to do
